uid,mandal,district,vci
TSSD0451,Rudrangi,Rajanna Sircilla,47.63906123815435
TSSD0452,Rudrur,Nizamabad,43.6911545514764
TSSD0453,Sadashivnagar,Kamareddy,41.84120024569399
TSSD0454,Sadasivpet,Sangareddy,37.932816519019504
TSSD0455,Saidabad,Hyderabad,45.707322453044476
TSSD0456,Sangareddy,Sangareddy,46.88324297750841
TSSD0457,Sangem,Warangal_Rural,44.573952426444706
TSSD0458,Sarangapur,Jagtial,55.036756095224476
TSSD0459,Sarangapur,Nirmal,57.11873336480984
TSSD0460,Sathupally,Khammam,44.46701731669072
TSSD0461,Secunderabad,Hyderabad,49.51526273968148
TSSD0462,Serilingampalle,Rangareddy,43.73137959545625
TSSD0463,Shabad,Rangareddy,47.936509628736815
TSSD0464,Shaikpet,Hyderabad,53.56862356895315
TSSD0465,Shaligouraram,Nalgonda,43.44898582881557
TSSD0466,Shamirpet,Medchal_Malkajgiri,38.41471725927736
TSSD0467,Shamshabad,Rangareddy,38.33537409310063
TSSD0468,Shankarampet_A,Medak,43.450562244191325
TSSD0469,Shankarapatnam,Karimnagar,46.587072305063735
TSSD0470,Shankarpalle,Rangareddy,33.72372946864022
TSSD0471,Shayampet,Warangal_Rural,47.05443218117641
TSSD0472,Shivampet,Medak,36.91436731267847
TSSD0473,Siddipet_Rural,Siddipet,41.69052030999807
TSSD0474,Siddipet_Urban,Siddipet,45.216307249597875
TSSD0475,Singareni,Khammam,43.97752773491587
TSSD0476,Sircilla,Rajanna Sircilla,45.13125891306092
TSSD0477,Sirgapoor,Sangareddy,43.256121938855074
TSSD0478,Sirikonda,Adilabad,51.12102629071569
TSSD0479,Sirikonda,Nizamabad,47.19634883874409
TSSD0480,Sirpur_T,Kumurambheem Asifabad,49.50927714048517
TSSD0481,Sirpur_U,Kumurambheem Asifabad,53.30088993905183
TSSD0482,Soan,Nirmal,57.50180801574687
TSSD0483,Srirampur,Peddapalli,45.81466313627142
TSSD0484,Srirangapur,Wanaparthy,41.24441997365933
TSSD0485,Sujathanagar,Bhadradri Kothagudem,33.7607224882909
TSSD0486,Sultanabad,Peddapalli,42.73512137479973
TSSD0487,Suryapet,Suryapet,44.234914019601355
TSSD0488,Tadoor,Nagarkurnool,51.66230371823953
TSSD0489,Tadvai (Sammakka Sarakka),Mulugu,54.39914468699774
TSSD0490,Tadwai,Kamareddy,41.807289637004295
TSSD0491,Talakondapally,Rangareddy,36.633242773037374
TSSD0492,Talamadugu,Adilabad,52.02063428121854
TSSD0493,Tamsi,Adilabad,51.784086108947356
TSSD0494,Tandur,Mancherial,58.74387131534293
TSSD0495,Tandur,Vikarabad,42.25739578340394
TSSD0496,Tanoor,Nirmal,46.775242445168814
TSSD0497,Tekmal,Medak,38.9721434316259
TSSD0498,Tekulapalle,Bhadradri Kothagudem,44.47998789518088
